Rated | current | (In),Rated | Voltage | (Un),Frequency,Poles,Reference h,Straight plugs | IP44/IP54 | Fast wiring,Straight plugs | IP44/IP54 | Screw wiring,Straight plugs | IP66/IP67/IP68/IP69 | Fast wiring,Straight plugs | IP66/IP67/IP68/IP69 | Screw wiring
16 A,100 ÷ 130 V,50/60 Hz,2P+E,4,GW 60 001 FH,GW 60 001 H,GW 60 023 FH,GW 60 023 H
16 A,100 ÷ 130 V,50/60 Hz,3P+E,4,GW 60 002 FH,GW 60 002 H,GW 60 024 FH,GW 60 024 H
16 A,100 ÷ 130 V,50/60 Hz,3P+N+E,4,GW 60 003 FH,GW 60 003 H,GW 60 025 FH,GW 60 025 H
16 A,200 ÷ 250 V,50/60 Hz,2P+E,6,GW 60 004 FH,GW 60 004 H,GW 60 026 FH,GW 60 026 H
16 A,200 ÷ 250 V,50/60 Hz,3P+E,9,GW 60 005 FH,GW 60 005 H,GW 60 027 FH,GW 60 027 H
16 A,200 ÷ 250 V,50/60 Hz,3P+E,9,GW 60 005 FH,GW 60 005 WH (*),GW 60 027 FH,GW 60 027 WH (*)
16 A,200 ÷ 250 V,50/60 Hz,3P+N+E,9,GW 60 006 FH,GW 60 006 H,GW 60 028 FH,GW 60 028 H
16 A,200 ÷ 250 V,50/60 Hz,3P+N+E,9,GW 60 006 FH,GW 60 006 WH (*),GW 60 028 FH,GW 60 028 WH (*)
16 A,380 ÷ 415 V,50/60 Hz,2P+E,9,GW 60 007 FH,GW 60 007 H,GW 60 029 FH,GW 60 029 H
16 A,380 ÷ 415 V,50/60 Hz,3P+E,6,GW 60 008 FH,GW 60 008 H,GW 60 030 FH,GW 60 030 H
16 A,380 ÷ 415 V,50/60 Hz,3P+E,6,GW 60 008 FH,GW 60 008 WH (*),GW 60 030 FH,GW 60 030 WH (*)
16 A,380 ÷ 415 V,50/60 Hz,3P+N+E,6,GW 60 009 FH,GW 60 009 H,GW 60 031 FH,GW 60 031 H
16 A,380 ÷ 415 V,50/60 Hz,3P+N+E,6,GW 60 009 FH,GW 60 009 WH (*),GW 60 031 FH,GW 60 031 WH (*)
16 A,480 ÷ 500 V,50/60 Hz,2P+E,7,,GW 60 701 H,,GW 60 735 H
16 A,480 ÷ 500 V,50/60 Hz,3P+E,7,,GW 60 010 H,,GW 60 032 H
16 A,480 ÷ 500 V,50/60 Hz,3P+N+E,7,,GW 60 011 H,,GW 60 033 H
16 A,600 ÷ 690 V,50/60 Hz,3P+E,5,,GW 60 702 H,,GW 60 736 H
16 A,600 ÷ 690 V,50/60 Hz,3P+N+E,5,,GW 60 703 H,,GW 60 737 H
16 A,> 50 V,100 ÷ 300 Hz,2P+E,10,,GW 60 704 H,,GW 60 738 H
