anchor_id,sku,sku_normalized,registry_match_type,registry_status,row,column,cell_id,bbox,column_role,orientation,confidence
sku_000001,GW 60 001 FH,GW60001FH,exact_normalized,confirmed,2,6,r0002c006,"[279.5148451821098, 154.73822021484375, 347.824969317462, 163.80912272135416]",sku_column,multiple_codes_in_row,1.0
sku_000002,GW 60 001 H,GW60001H,exact_normalized,confirmed,2,7,r0002c007,"[347.824969317462, 154.73822021484375, 416.1351191066803, 163.80912272135416]",sku_column,multiple_codes_in_row,1.0
sku_000003,GW 60 023 FH,GW60023FH,exact_normalized,confirmed,2,8,r0002c008,"[416.1351191066803, 154.73822021484375, 484.445559444943, 163.80912272135416]",sku_column,multiple_codes_in_row,1.0
sku_000004,GW 60 023 H,GW60023H,exact_normalized,confirmed,2,9,r0002c009,"[484.445559444943, 154.73822021484375, 552.7559721975615, 163.80912272135416]",sku_column,multiple_codes_in_row,1.0
sku_000005,GW 60 002 FH,GW60002FH,exact_normalized,confirmed,3,6,r0003c006,"[279.5148451821098, 163.80912272135416, 347.824969317462, 172.88006591796875]",sku_column,multiple_codes_in_row,1.0
sku_000006,GW 60 002 H,GW60002H,exact_normalized,confirmed,3,7,r0003c007,"[347.824969317462, 163.80912272135416, 416.1351191066803, 172.88006591796875]",sku_column,multiple_codes_in_row,1.0
sku_000007,GW 60 024 FH,GW60024FH,exact_normalized,confirmed,3,8,r0003c008,"[416.1351191066803, 163.80912272135416, 484.445559444943, 172.88006591796875]",sku_column,multiple_codes_in_row,1.0
sku_000008,GW 60 024 H,GW60024H,exact_normalized,confirmed,3,9,r0003c009,"[484.445559444943, 163.80912272135416, 552.7559721975615, 172.88006591796875]",sku_column,multiple_codes_in_row,1.0
sku_000009,GW 60 003 FH,GW60003FH,exact_normalized,confirmed,4,6,r0004c006,"[279.5148451821098, 172.88006591796875, 347.824969317462, 181.95099385579428]",sku_column,multiple_codes_in_row,1.0
sku_000010,GW 60 003 H,GW60003H,exact_normalized,confirmed,4,7,r0004c007,"[347.824969317462, 172.88006591796875, 416.1351191066803, 181.95099385579428]",sku_column,multiple_codes_in_row,1.0
sku_000011,GW 60 025 FH,GW60025FH,exact_normalized,confirmed,4,8,r0004c008,"[416.1351191066803, 172.88006591796875, 484.445559444943, 181.95099385579428]",sku_column,multiple_codes_in_row,1.0
sku_000012,GW 60 025 H,GW60025H,exact_normalized,confirmed,4,9,r0004c009,"[484.445559444943, 172.88006591796875, 552.7559721975615, 181.95099385579428]",sku_column,multiple_codes_in_row,1.0
sku_000013,GW 60 004 FH,GW60004FH,exact_normalized,confirmed,5,6,r0005c006,"[279.5148451821098, 181.95099385579428, 347.824969317462, 191.02201334635416]",sku_column,multiple_codes_in_row,1.0
sku_000014,GW 60 004 H,GW60004H,exact_normalized,confirmed,5,7,r0005c007,"[347.824969317462, 181.95099385579428, 416.1351191066803, 191.02201334635416]",sku_column,multiple_codes_in_row,1.0
sku_000015,GW 60 026 FH,GW60026FH,exact_normalized,confirmed,5,8,r0005c008,"[416.1351191066803, 181.95099385579428, 484.445559444943, 191.02201334635416]",sku_column,multiple_codes_in_row,1.0
sku_000016,GW 60 026 H,GW60026H,exact_normalized,confirmed,5,9,r0005c009,"[484.445559444943, 181.95099385579428, 552.7559721975615, 191.02201334635416]",sku_column,multiple_codes_in_row,1.0
sku_000017,GW 60 005 FH,GW60005FH,exact_normalized,confirmed,6,6,r0006c006,"[279.5148451821098, 191.02201334635416, 347.824969317462, 209.16391330295139]",sku_column,multiple_codes_in_row,1.0
sku_000018,GW 60 005 H,GW60005H,exact_normalized,confirmed,6,7,r0006c007,"[347.824969317462, 191.02201334635416, 416.1351191066803, 200.09295654296875]",sku_column,multiple_codes_in_row,1.0
sku_000019,GW 60 027 FH,GW60027FH,exact_normalized,confirmed,6,8,r0006c008,"[416.1351191066803, 191.02201334635416, 484.445559444943, 209.16391330295139]",sku_column,multiple_codes_in_row,1.0
sku_000020,GW 60 027 H,GW60027H,exact_normalized,confirmed,6,9,r0006c009,"[484.445559444943, 191.02201334635416, 552.7559721975615, 200.09295654296875]",sku_column,multiple_codes_in_row,1.0
sku_000021,GW 60 005 FH,GW60005FH,exact_normalized,confirmed,7,6,r0007c006,,sku_column,multiple_codes_in_row,1.0
sku_000022,GW 60 005 WH,GW60005WH,exact_normalized,confirmed,7,7,r0007c007,"[347.824969317462, 200.09295654296875, 416.1351191066803, 209.16391330295139]",sku_column,multiple_codes_in_row,1.0
sku_000023,GW 60 027 FH,GW60027FH,exact_normalized,confirmed,7,8,r0007c008,,sku_column,multiple_codes_in_row,1.0
sku_000024,GW 60 027 WH,GW60027WH,exact_normalized,confirmed,7,9,r0007c009,"[484.445559444943, 200.09295654296875, 552.7559721975615, 209.16391330295139]",sku_column,multiple_codes_in_row,1.0
sku_000025,GW 60 006 FH,GW60006FH,exact_normalized,confirmed,8,6,r0008c006,"[279.5148451821098, 209.16391330295139, 347.824969317462, 227.30538940429688]",sku_column,multiple_codes_in_row,1.0
sku_000026,GW 60 006 H,GW60006H,exact_normalized,confirmed,8,7,r0008c007,"[347.824969317462, 209.16391330295139, 416.1351191066803, 218.23482259114584]",sku_column,multiple_codes_in_row,1.0
sku_000027,GW 60 028 FH,GW60028FH,exact_normalized,confirmed,8,8,r0008c008,"[416.1351191066803, 209.16391330295139, 484.445559444943, 227.30538940429688]",sku_column,multiple_codes_in_row,1.0
sku_000028,GW 60 028 H,GW60028H,exact_normalized,confirmed,8,9,r0008c009,"[484.445559444943, 209.16391330295139, 552.7559721975615, 218.23482259114584]",sku_column,multiple_codes_in_row,1.0
sku_000029,GW 60 006 FH,GW60006FH,exact_normalized,confirmed,9,6,r0009c006,,sku_column,multiple_codes_in_row,1.0
sku_000030,GW 60 006 WH,GW60006WH,exact_normalized,confirmed,9,7,r0009c007,"[347.824969317462, 218.23482259114584, 416.1351191066803, 227.30538940429688]",sku_column,multiple_codes_in_row,1.0
sku_000031,GW 60 028 FH,GW60028FH,exact_normalized,confirmed,9,8,r0009c008,,sku_column,multiple_codes_in_row,1.0
sku_000032,GW 60 028 WH,GW60028WH,exact_normalized,confirmed,9,9,r0009c009,"[484.445559444943, 218.23482259114584, 552.7559721975615, 227.30538940429688]",sku_column,multiple_codes_in_row,1.0
sku_000033,GW 60 007 FH,GW60007FH,exact_normalized,confirmed,10,6,r0010c006,"[279.5148451821098, 227.30538940429688, 347.824969317462, 236.3761189778646]",sku_column,multiple_codes_in_row,1.0
sku_000034,GW 60 007 H,GW60007H,exact_normalized,confirmed,10,7,r0010c007,"[347.824969317462, 227.30538940429688, 416.1351191066803, 236.3761189778646]",sku_column,multiple_codes_in_row,1.0
sku_000035,GW 60 029 FH,GW60029FH,exact_normalized,confirmed,10,8,r0010c008,"[416.1351191066803, 227.30538940429688, 484.445559444943, 236.3761189778646]",sku_column,multiple_codes_in_row,1.0
sku_000036,GW 60 029 H,GW60029H,exact_normalized,confirmed,10,9,r0010c009,"[484.445559444943, 227.30538940429688, 552.7559721975615, 236.3761189778646]",sku_column,multiple_codes_in_row,1.0
sku_000037,GW 60 008 FH,GW60008FH,exact_normalized,confirmed,11,6,r0011c006,"[279.5148451821098, 236.3761189778646, 347.824969317462, 254.5180189344618]",sku_column,multiple_codes_in_row,1.0
sku_000038,GW 60 008 H,GW60008H,exact_normalized,confirmed,11,7,r0011c007,"[347.824969317462, 236.3761189778646, 416.1351191066803, 245.44706217447916]",sku_column,multiple_codes_in_row,1.0
sku_000039,GW 60 030 FH,GW60030FH,exact_normalized,confirmed,11,8,r0011c008,"[416.1351191066803, 236.3761189778646, 484.445559444943, 254.5180189344618]",sku_column,multiple_codes_in_row,1.0
sku_000040,GW 60 030 H,GW60030H,exact_normalized,confirmed,11,9,r0011c009,"[484.445559444943, 236.3761189778646, 552.7559721975615, 245.44706217447916]",sku_column,multiple_codes_in_row,1.0
sku_000041,GW 60 008 FH,GW60008FH,exact_normalized,confirmed,12,6,r0012c006,,sku_column,multiple_codes_in_row,1.0
sku_000042,GW 60 008 WH,GW60008WH,exact_normalized,confirmed,12,7,r0012c007,"[347.824969317462, 245.44706217447916, 416.1351191066803, 254.5180189344618]",sku_column,multiple_codes_in_row,1.0
sku_000043,GW 60 030 FH,GW60030FH,exact_normalized,confirmed,12,8,r0012c008,,sku_column,multiple_codes_in_row,1.0
sku_000044,GW 60 030 WH,GW60030WH,exact_normalized,confirmed,12,9,r0012c009,"[484.445559444943, 245.44706217447916, 552.7559721975615, 254.5180189344618]",sku_column,multiple_codes_in_row,1.0
sku_000045,GW 60 009 FH,GW60009FH,exact_normalized,confirmed,13,6,r0013c006,"[279.5148451821098, 254.5180189344618, 347.824969317462, 272.6598409016927]",sku_column,multiple_codes_in_row,1.0
sku_000046,GW 60 009 H,GW60009H,exact_normalized,confirmed,13,7,r0013c007,"[347.824969317462, 254.5180189344618, 416.1351191066803, 263.58896891276044]",sku_column,multiple_codes_in_row,1.0
sku_000047,GW 60 031 FH,GW60031FH,exact_normalized,confirmed,13,8,r0013c008,"[416.1351191066803, 254.5180189344618, 484.445559444943, 272.6598409016927]",sku_column,multiple_codes_in_row,1.0
sku_000048,GW 60 031 H,GW60031H,exact_normalized,confirmed,13,9,r0013c009,"[484.445559444943, 254.5180189344618, 552.7559721975615, 263.58896891276044]",sku_column,multiple_codes_in_row,1.0
sku_000049,GW 60 009 FH,GW60009FH,exact_normalized,confirmed,14,6,r0014c006,,sku_column,multiple_codes_in_row,1.0
sku_000050,GW 60 009 WH,GW60009WH,exact_normalized,confirmed,14,7,r0014c007,"[347.824969317462, 263.58896891276044, 416.1351191066803, 272.6598409016927]",sku_column,multiple_codes_in_row,1.0
sku_000051,GW 60 031 FH,GW60031FH,exact_normalized,confirmed,14,8,r0014c008,,sku_column,multiple_codes_in_row,1.0
sku_000052,GW 60 031 WH,GW60031WH,exact_normalized,confirmed,14,9,r0014c009,"[484.445559444943, 263.58896891276044, 552.7559721975615, 272.6598409016927]",sku_column,multiple_codes_in_row,1.0
sku_000053,GW 60 701 H,GW60701H,exact_normalized,confirmed,15,7,r0015c007,"[347.824969317462, 272.6598409016927, 416.1351191066803, 281.7308756510417]",sku_column,multiple_codes_in_row,1.0
sku_000054,GW 60 735 H,GW60735H,exact_normalized,confirmed,15,9,r0015c009,"[484.445559444943, 272.6598409016927, 552.7559721975615, 281.7308756510417]",sku_column,multiple_codes_in_row,1.0
sku_000055,GW 60 010 H,GW60010H,exact_normalized,confirmed,16,7,r0016c007,"[347.824969317462, 281.7308756510417, 416.1351191066803, 290.8014729817708]",sku_column,multiple_codes_in_row,1.0
sku_000056,GW 60 032 H,GW60032H,exact_normalized,confirmed,16,9,r0016c009,"[484.445559444943, 281.7308756510417, 552.7559721975615, 290.8014729817708]",sku_column,multiple_codes_in_row,1.0
sku_000057,GW 60 011 H,GW60011H,exact_normalized,confirmed,17,7,r0017c007,"[347.824969317462, 290.8014729817708, 416.1351191066803, 299.8721974690755]",sku_column,multiple_codes_in_row,1.0
sku_000058,GW 60 033 H,GW60033H,exact_normalized,confirmed,17,9,r0017c009,"[484.445559444943, 290.8014729817708, 552.7559721975615, 299.8721974690755]",sku_column,multiple_codes_in_row,1.0
sku_000059,GW 60 702 H,GW60702H,exact_normalized,confirmed,18,7,r0018c007,"[347.824969317462, 299.8721974690755, 416.1351191066803, 308.9430745442708]",sku_column,multiple_codes_in_row,1.0
sku_000060,GW 60 736 H,GW60736H,exact_normalized,confirmed,18,9,r0018c009,"[484.445559444943, 299.8721974690755, 552.7559721975615, 308.9430745442708]",sku_column,multiple_codes_in_row,1.0
sku_000061,GW 60 703 H,GW60703H,exact_normalized,confirmed,19,7,r0019c007,"[347.824969317462, 308.9430745442708, 416.1351191066803, 318.01402282714844]",sku_column,multiple_codes_in_row,1.0
sku_000062,GW 60 737 H,GW60737H,exact_normalized,confirmed,19,9,r0019c009,"[484.445559444943, 308.9430745442708, 552.7559721975615, 318.01402282714844]",sku_column,multiple_codes_in_row,1.0
sku_000063,GW 60 704 H,GW60704H,exact_normalized,confirmed,20,7,r0020c007,"[347.824969317462, 318.01402282714844, 416.1351191066803, 327.08498128255206]",sku_column,multiple_codes_in_row,1.0
sku_000064,GW 60 738 H,GW60738H,exact_normalized,confirmed,20,9,r0020c009,"[484.445559444943, 318.01402282714844, 552.7559721975615, 327.08498128255206]",sku_column,multiple_codes_in_row,1.0
sku_000065,GW 60 705 H,GW60705H,exact_normalized,confirmed,21,7,r0021c007,"[347.824969317462, 327.08498128255206, 416.1351191066803, 336.1559549967448]",sku_column,multiple_codes_in_row,1.0
sku_000066,GW 60 739 H,GW60739H,exact_normalized,confirmed,21,9,r0021c009,"[484.445559444943, 327.08498128255206, 552.7559721975615, 336.1559549967448]",sku_column,multiple_codes_in_row,1.0
sku_000067,GW 60 706 H,GW60706H,exact_normalized,confirmed,22,7,r0022c007,"[347.824969317462, 336.1559549967448, 416.1351191066803, 345.22692108154297]",sku_column,multiple_codes_in_row,1.0
sku_000068,GW 60 740 H,GW60740H,exact_normalized,confirmed,22,9,r0022c009,"[484.445559444943, 336.1559549967448, 552.7559721975615, 345.22692108154297]",sku_column,multiple_codes_in_row,1.0
sku_000069,GW 60 707 H,GW60707H,exact_normalized,confirmed,23,7,r0023c007,"[347.824969317462, 345.22692108154297, 416.1351191066803, 354.2978515625]",sku_column,multiple_codes_in_row,1.0
sku_000070,GW 60 741 H,GW60741H,exact_normalized,confirmed,23,9,r0023c009,"[484.445559444943, 345.22692108154297, 552.7559721975615, 354.2978515625]",sku_column,multiple_codes_in_row,1.0
sku_000071,GW 60 708 H,GW60708H,exact_normalized,confirmed,24,7,r0024c007,"[347.824969317462, 354.2978515625, 416.1351191066803, 363.3684794108073]",sku_column,multiple_codes_in_row,1.0
sku_000072,GW 60 742 H,GW60742H,exact_normalized,confirmed,24,9,r0024c009,"[484.445559444943, 354.2978515625, 552.7559721975615, 363.3684794108073]",sku_column,multiple_codes_in_row,1.0
sku_000073,GW 60 709 H,GW60709H,exact_normalized,confirmed,25,7,r0025c007,"[347.824969317462, 363.3684794108073, 416.1351191066803, 372.43920135498047]",sku_column,multiple_codes_in_row,1.0
sku_000074,GW 60 743 H,GW60743H,exact_normalized,confirmed,25,9,r0025c009,"[484.445559444943, 363.3684794108073, 552.7559721975615, 372.43920135498047]",sku_column,multiple_codes_in_row,1.0
sku_000075,GW 60 710 H,GW60710H,exact_normalized,confirmed,26,7,r0026c007,"[347.824969317462, 372.43920135498047, 416.1351191066803, 381.5100504557292]",sku_column,multiple_codes_in_row,1.0
sku_000076,GW 60 744 H,GW60744H,exact_normalized,confirmed,26,9,r0026c009,"[484.445559444943, 372.43920135498047, 552.7559721975615, 381.5100504557292]",sku_column,multiple_codes_in_row,1.0
sku_000077,GW 60 711 H,GW60711H,exact_normalized,confirmed,27,7,r0027c007,"[347.824969317462, 381.5100504557292, 416.1351191066803, 390.5810241699219]",sku_column,multiple_codes_in_row,1.0
sku_000078,GW 60 745 H,GW60745H,exact_normalized,confirmed,27,9,r0027c009,"[484.445559444943, 381.5100504557292, 552.7559721975615, 390.5810241699219]",sku_column,multiple_codes_in_row,1.0
