column,header_level,header_text,normalized_header,column_role,bbox,confidence
1,1,Rated,rated,attribute_column,"[42.52, 89.5416259765625, 89.919, 154.73822021484375]",0.98
1,2,current,rated_current,attribute_column,"[42.52, 89.5416259765625, 89.919, 154.73822021484375]",0.98
1,3,(In),in,attribute_column,"[42.52, 89.5416259765625, 89.919, 154.73822021484375]",0.98
2,1,Rated,rated,attribute_column,"[89.919, 89.5416259765625, 137.318, 154.73822021484375]",0.98
2,2,Voltage,rated_voltage,attribute_column,"[89.919, 89.5416259765625, 137.318, 154.73822021484375]",0.98
2,3,(Un),un,attribute_column,"[89.919, 89.5416259765625, 137.318, 154.73822021484375]",0.98
3,1,Frequency,frequency,attribute_column,"[137.318, 89.5416259765625, 184.717, 154.73822021484375]",0.98
4,1,Poles,poles,attribute_column,"[184.717, 89.5416259765625, 232.116, 154.73822021484375]",0.98
5,1,Reference h,reference_h,attribute_column,"[232.116, 89.5416259765625, 279.515, 154.73822021484375]",0.98
6,1,Straight plugs,straight_plugs,sku_column,"[279.515, 89.5416259765625, 347.825, 154.73822021484375]",0.98
6,2,IP44/IP54,ip44_ip54,sku_column,"[279.515, 89.5416259765625, 347.825, 154.73822021484375]",0.98
6,3,Fast wiring,fast_wiring,sku_column,"[279.515, 89.5416259765625, 347.825, 154.73822021484375]",0.98
7,1,Straight plugs,straight_plugs,sku_column,"[347.825, 89.5416259765625, 416.135, 154.73822021484375]",0.98
7,2,IP44/IP54,ip44_ip54,sku_column,"[347.825, 89.5416259765625, 416.135, 154.73822021484375]",0.98
7,3,Screw wiring,screw_wiring,sku_column,"[347.825, 89.5416259765625, 416.135, 154.73822021484375]",0.98
8,1,Straight plugs,straight_plugs,sku_column,"[416.135, 89.5416259765625, 484.446, 154.73822021484375]",0.98
8,2,IP66/IP67/IP68/IP69,ip66_ip67_ip68_ip69,sku_column,"[416.135, 89.5416259765625, 484.446, 154.73822021484375]",0.98
8,3,Fast wiring,fast_wiring,sku_column,"[416.135, 89.5416259765625, 484.446, 154.73822021484375]",0.98
9,1,Straight plugs,straight_plugs,sku_column,"[484.446, 89.5416259765625, 552.756, 154.73822021484375]",0.98
9,2,IP66/IP67/IP68/IP69,ip66_ip67_ip68_ip69,sku_column,"[484.446, 89.5416259765625, 552.756, 154.73822021484375]",0.98
9,3,Screw wiring,screw_wiring,sku_column,"[484.446, 89.5416259765625, 552.756, 154.73822021484375]",0.98
