anchor_id,sku,sku_normalized,attribute_cell_id,source_attribute,normalized_attribute,candidate_value,value_normalized,unit,relationship_direction,source_row,source_column,source_bbox,header_path,cells_crossed,sku_cells_crossed,inherited,confidence,decision,rejection_reason
sku_000001,GW 60 001 FH,GW60001FH,,product_type,product_type,Straight plugs,Straight plugs,,up_header_path,,6,,"[""Straight plugs"", ""IP44/IP54"", ""Fast wiring""]",0,0,False,0.99,accepted,
sku_000001,GW 60 001 FH,GW60001FH,,ip_rating,ip_rating,IP44/IP54,IP44/IP54,,up_header_path,,6,,"[""Straight plugs"", ""IP44/IP54"", ""Fast wiring""]",0,0,False,0.99,accepted,
sku_000001,GW 60 001 FH,GW60001FH,,wiring_type,wiring_type,Fast wiring,Fast wiring,,up_header_path,,6,,"[""Straight plugs"", ""IP44/IP54"", ""Fast wiring""]",0,0,False,0.99,accepted,
sku_000001,GW 60 001 FH,GW60001FH,,source_column_path,source_column_path,Straight plugs | IP44/IP54 | Fast wiring,Straight plugs | IP44/IP54 | Fast wiring,,up_header_path,,6,,"[""Straight plugs"", ""IP44/IP54"", ""Fast wiring""]",0,0,False,0.99,accepted,
sku_000001,GW 60 001 FH,GW60001FH,r0002c001,Rated | current | (In),rated_current,16 A,16 A,A,same_row_left,2,1,"[42.51990000406901, 154.73822021484375, 89.91878435688633, 445.00609334309894]","[""Rated"", ""current"", ""(In)""]",4,0,False,0.99,accepted,
sku_000001,GW 60 001 FH,GW60001FH,r0002c002,Rated | Voltage | (Un),rated_voltage,100 ÷ 130 V,100 ÷ 130 V,V,same_row_left,2,2,"[89.91878435688633, 154.73822021484375, 137.3177620265795, 181.95099385579428]","[""Rated"", ""Voltage"", ""(Un)""]",3,0,False,0.99,accepted,
sku_000001,GW 60 001 FH,GW60001FH,r0002c003,Frequency,frequency,50/60 Hz,50/60 Hz,Hz,same_row_left,2,3,"[137.3177620265795, 154.73822021484375, 184.71681441741737, 181.95099385579428]","[""Frequency""]",2,0,False,0.99,accepted,
sku_000001,GW 60 001 FH,GW60001FH,r0002c004,Poles,poles,2P+E,2P+E,,same_row_left,2,4,"[184.71681441741737, 154.73822021484375, 232.1158488183048, 163.80912272135416]","[""Poles""]",1,0,False,0.99,accepted,
sku_000001,GW 60 001 FH,GW60001FH,r0002c005,Reference h,reference_h,4,4,,same_row_left,2,5,"[232.1158488183048, 154.73822021484375, 279.5148451821098, 163.80912272135416]","[""Reference h""]",0,0,False,0.99,accepted,
sku_000002,GW 60 001 H,GW60001H,,product_type,product_type,Straight plugs,Straight plugs,,up_header_path,,7,,"[""Straight plugs"", ""IP44/IP54"", ""Screw wiring""]",0,0,False,0.99,accepted,
sku_000002,GW 60 001 H,GW60001H,,ip_rating,ip_rating,IP44/IP54,IP44/IP54,,up_header_path,,7,,"[""Straight plugs"", ""IP44/IP54"", ""Screw wiring""]",0,0,False,0.99,accepted,
sku_000002,GW 60 001 H,GW60001H,,wiring_type,wiring_type,Screw wiring,Screw wiring,,up_header_path,,7,,"[""Straight plugs"", ""IP44/IP54"", ""Screw wiring""]",0,0,False,0.99,accepted,
sku_000002,GW 60 001 H,GW60001H,,source_column_path,source_column_path,Straight plugs | IP44/IP54 | Screw wiring,Straight plugs | IP44/IP54 | Screw wiring,,up_header_path,,7,,"[""Straight plugs"", ""IP44/IP54"", ""Screw wiring""]",0,0,False,0.99,accepted,
sku_000002,GW 60 001 H,GW60001H,r0002c001,Rated | current | (In),rated_current,16 A,16 A,A,same_row_left_across_sku_columns,2,1,"[42.51990000406901, 154.73822021484375, 89.91878435688633, 445.00609334309894]","[""Rated"", ""current"", ""(In)""]",5,1,False,0.98,accepted,
sku_000002,GW 60 001 H,GW60001H,r0002c002,Rated | Voltage | (Un),rated_voltage,100 ÷ 130 V,100 ÷ 130 V,V,same_row_left_across_sku_columns,2,2,"[89.91878435688633, 154.73822021484375, 137.3177620265795, 181.95099385579428]","[""Rated"", ""Voltage"", ""(Un)""]",4,1,False,0.98,accepted,
sku_000002,GW 60 001 H,GW60001H,r0002c003,Frequency,frequency,50/60 Hz,50/60 Hz,Hz,same_row_left_across_sku_columns,2,3,"[137.3177620265795, 154.73822021484375, 184.71681441741737, 181.95099385579428]","[""Frequency""]",3,1,False,0.98,accepted,
sku_000002,GW 60 001 H,GW60001H,r0002c004,Poles,poles,2P+E,2P+E,,same_row_left_across_sku_columns,2,4,"[184.71681441741737, 154.73822021484375, 232.1158488183048, 163.80912272135416]","[""Poles""]",2,1,False,0.98,accepted,
sku_000002,GW 60 001 H,GW60001H,r0002c005,Reference h,reference_h,4,4,,same_row_left_across_sku_columns,2,5,"[232.1158488183048, 154.73822021484375, 279.5148451821098, 163.80912272135416]","[""Reference h""]",1,1,False,0.98,accepted,
sku_000003,GW 60 023 FH,GW60023FH,,product_type,product_type,Straight plugs,Straight plugs,,up_header_path,,8,,"[""Straight plugs"", ""IP66/IP67/IP68/IP69"", ""Fast wiring""]",0,0,False,0.99,accepted,
sku_000003,GW 60 023 FH,GW60023FH,,ip_rating,ip_rating,IP66/IP67/IP68/IP69,IP66/IP67/IP68/IP69,,up_header_path,,8,,"[""Straight plugs"", ""IP66/IP67/IP68/IP69"", ""Fast wiring""]",0,0,False,0.99,accepted,
sku_000003,GW 60 023 FH,GW60023FH,,wiring_type,wiring_type,Fast wiring,Fast wiring,,up_header_path,,8,,"[""Straight plugs"", ""IP66/IP67/IP68/IP69"", ""Fast wiring""]",0,0,False,0.99,accepted,
sku_000003,GW 60 023 FH,GW60023FH,,source_column_path,source_column_path,Straight plugs | IP66/IP67/IP68/IP69 | Fast wiring,Straight plugs | IP66/IP67/IP68/IP69 | Fast wiring,,up_header_path,,8,,"[""Straight plugs"", ""IP66/IP67/IP68/IP69"", ""Fast wiring""]",0,0,False,0.99,accepted,
sku_000003,GW 60 023 FH,GW60023FH,r0002c001,Rated | current | (In),rated_current,16 A,16 A,A,same_row_left_across_sku_columns,2,1,"[42.51990000406901, 154.73822021484375, 89.91878435688633, 445.00609334309894]","[""Rated"", ""current"", ""(In)""]",6,2,False,0.98,accepted,
sku_000003,GW 60 023 FH,GW60023FH,r0002c002,Rated | Voltage | (Un),rated_voltage,100 ÷ 130 V,100 ÷ 130 V,V,same_row_left_across_sku_columns,2,2,"[89.91878435688633, 154.73822021484375, 137.3177620265795, 181.95099385579428]","[""Rated"", ""Voltage"", ""(Un)""]",5,2,False,0.98,accepted,
sku_000003,GW 60 023 FH,GW60023FH,r0002c003,Frequency,frequency,50/60 Hz,50/60 Hz,Hz,same_row_left_across_sku_columns,2,3,"[137.3177620265795, 154.73822021484375, 184.71681441741737, 181.95099385579428]","[""Frequency""]",4,2,False,0.98,accepted,
sku_000003,GW 60 023 FH,GW60023FH,r0002c004,Poles,poles,2P+E,2P+E,,same_row_left_across_sku_columns,2,4,"[184.71681441741737, 154.73822021484375, 232.1158488183048, 163.80912272135416]","[""Poles""]",3,2,False,0.98,accepted,
sku_000003,GW 60 023 FH,GW60023FH,r0002c005,Reference h,reference_h,4,4,,same_row_left_across_sku_columns,2,5,"[232.1158488183048, 154.73822021484375, 279.5148451821098, 163.80912272135416]","[""Reference h""]",2,2,False,0.98,accepted,
sku_000004,GW 60 023 H,GW60023H,,product_type,product_type,Straight plugs,Straight plugs,,up_header_path,,9,,"[""Straight plugs"", ""IP66/IP67/IP68/IP69"", ""Screw wiring""]",0,0,False,0.99,accepted,
sku_000004,GW 60 023 H,GW60023H,,ip_rating,ip_rating,IP66/IP67/IP68/IP69,IP66/IP67/IP68/IP69,,up_header_path,,9,,"[""Straight plugs"", ""IP66/IP67/IP68/IP69"", ""Screw wiring""]",0,0,False,0.99,accepted,
sku_000004,GW 60 023 H,GW60023H,,wiring_type,wiring_type,Screw wiring,Screw wiring,,up_header_path,,9,,"[""Straight plugs"", ""IP66/IP67/IP68/IP69"", ""Screw wiring""]",0,0,False,0.99,accepted,
sku_000004,GW 60 023 H,GW60023H,,source_column_path,source_column_path,Straight plugs | IP66/IP67/IP68/IP69 | Screw wiring,Straight plugs | IP66/IP67/IP68/IP69 | Screw wiring,,up_header_path,,9,,"[""Straight plugs"", ""IP66/IP67/IP68/IP69"", ""Screw wiring""]",0,0,False,0.99,accepted,
sku_000004,GW 60 023 H,GW60023H,r0002c001,Rated | current | (In),rated_current,16 A,16 A,A,same_row_left_across_sku_columns,2,1,"[42.51990000406901, 154.73822021484375, 89.91878435688633, 445.00609334309894]","[""Rated"", ""current"", ""(In)""]",7,3,False,0.98,accepted,
sku_000004,GW 60 023 H,GW60023H,r0002c002,Rated | Voltage | (Un),rated_voltage,100 ÷ 130 V,100 ÷ 130 V,V,same_row_left_across_sku_columns,2,2,"[89.91878435688633, 154.73822021484375, 137.3177620265795, 181.95099385579428]","[""Rated"", ""Voltage"", ""(Un)""]",6,3,False,0.98,accepted,
sku_000004,GW 60 023 H,GW60023H,r0002c003,Frequency,frequency,50/60 Hz,50/60 Hz,Hz,same_row_left_across_sku_columns,2,3,"[137.3177620265795, 154.73822021484375, 184.71681441741737, 181.95099385579428]","[""Frequency""]",5,3,False,0.98,accepted,
sku_000004,GW 60 023 H,GW60023H,r0002c004,Poles,poles,2P+E,2P+E,,same_row_left_across_sku_columns,2,4,"[184.71681441741737, 154.73822021484375, 232.1158488183048, 163.80912272135416]","[""Poles""]",4,3,False,0.98,accepted,
sku_000004,GW 60 023 H,GW60023H,r0002c005,Reference h,reference_h,4,4,,same_row_left_across_sku_columns,2,5,"[232.1158488183048, 154.73822021484375, 279.5148451821098, 163.80912272135416]","[""Reference h""]",3,3,False,0.98,accepted,
sku_000005,GW 60 002 FH,GW60002FH,,product_type,product_type,Straight plugs,Straight plugs,,up_header_path,,6,,"[""Straight plugs"", ""IP44/IP54"", ""Fast wiring""]",0,0,False,0.99,accepted,
sku_000005,GW 60 002 FH,GW60002FH,,ip_rating,ip_rating,IP44/IP54,IP44/IP54,,up_header_path,,6,,"[""Straight plugs"", ""IP44/IP54"", ""Fast wiring""]",0,0,False,0.99,accepted,
sku_000005,GW 60 002 FH,GW60002FH,,wiring_type,wiring_type,Fast wiring,Fast wiring,,up_header_path,,6,,"[""Straight plugs"", ""IP44/IP54"", ""Fast wiring""]",0,0,False,0.99,accepted,
sku_000005,GW 60 002 FH,GW60002FH,,source_column_path,source_column_path,Straight plugs | IP44/IP54 | Fast wiring,Straight plugs | IP44/IP54 | Fast wiring,,up_header_path,,6,,"[""Straight plugs"", ""IP44/IP54"", ""Fast wiring""]",0,0,False,0.99,accepted,
sku_000005,GW 60 002 FH,GW60002FH,r0003c001,Rated | current | (In),rated_current,16 A,16 A,A,same_row_left,3,1,,"[""Rated"", ""current"", ""(In)""]",4,0,True,0.98,accepted,
sku_000005,GW 60 002 FH,GW60002FH,r0003c002,Rated | Voltage | (Un),rated_voltage,100 ÷ 130 V,100 ÷ 130 V,V,same_row_left,3,2,,"[""Rated"", ""Voltage"", ""(Un)""]",3,0,True,0.98,accepted,
sku_000005,GW 60 002 FH,GW60002FH,r0003c003,Frequency,frequency,50/60 Hz,50/60 Hz,Hz,same_row_left,3,3,,"[""Frequency""]",2,0,True,0.98,accepted,
sku_000005,GW 60 002 FH,GW60002FH,r0003c004,Poles,poles,3P+E,3P+E,,same_row_left,3,4,"[184.71681441741737, 163.80912272135416, 232.1158488183048, 172.88006591796875]","[""Poles""]",1,0,False,0.99,accepted,
sku_000005,GW 60 002 FH,GW60002FH,r0003c005,Reference h,reference_h,4,4,,same_row_left,3,5,"[232.1158488183048, 163.80912272135416, 279.5148451821098, 172.88006591796875]","[""Reference h""]",0,0,False,0.99,accepted,
