anchor_id,sku,sku_normalized,attribute_cell_id,source_attribute,normalized_attribute,candidate_value,value_normalized,unit,relationship_direction,source_row,source_column,source_bbox,header_path,cells_crossed,sku_cells_crossed,inherited,confidence,decision,rejection_reason
sku_000001,GW 62 001 FH,GW62001FH,,product_type,product_type,Straight connectors,Straight connectors,,up_header_path,,1,,"[""Straight connectors"", ""IP44/IP54"", ""Fast wiring""]",0,0,False,0.99,accepted,
sku_000001,GW 62 001 FH,GW62001FH,,ip_rating,ip_rating,IP44/IP54,IP44/IP54,,up_header_path,,1,,"[""Straight connectors"", ""IP44/IP54"", ""Fast wiring""]",0,0,False,0.99,accepted,
sku_000001,GW 62 001 FH,GW62001FH,,wiring_type,wiring_type,Fast wiring,Fast wiring,,up_header_path,,1,,"[""Straight connectors"", ""IP44/IP54"", ""Fast wiring""]",0,0,False,0.99,accepted,
sku_000001,GW 62 001 FH,GW62001FH,,source_column_path,source_column_path,Straight connectors | IP44/IP54 | Fast wiring,Straight connectors | IP44/IP54 | Fast wiring,,up_header_path,,1,,"[""Straight connectors"", ""IP44/IP54"", ""Fast wiring""]",0,0,False,0.99,accepted,
sku_000001,GW 62 001 FH,GW62001FH,r0002c009,APPLICATIONS,applications,Standard use,Standard use,,same_row_right_across_sku_columns,2,9,"[466.322172416273, 154.73822021484375, 552.755029296875, 272.6598962854456]","[""APPLICATIONS""]",7,7,False,0.98,accepted,
sku_000002,GW 62 001 H,GW62001H,,product_type,product_type,Straight connectors,Straight connectors,,up_header_path,,2,,"[""Straight connectors"", ""IP44/IP54"", ""Screw wiring""]",0,0,False,0.99,accepted,
sku_000002,GW 62 001 H,GW62001H,,ip_rating,ip_rating,IP44/IP54,IP44/IP54,,up_header_path,,2,,"[""Straight connectors"", ""IP44/IP54"", ""Screw wiring""]",0,0,False,0.99,accepted,
sku_000002,GW 62 001 H,GW62001H,,wiring_type,wiring_type,Screw wiring,Screw wiring,,up_header_path,,2,,"[""Straight connectors"", ""IP44/IP54"", ""Screw wiring""]",0,0,False,0.99,accepted,
sku_000002,GW 62 001 H,GW62001H,,source_column_path,source_column_path,Straight connectors | IP44/IP54 | Screw wiring,Straight connectors | IP44/IP54 | Screw wiring,,up_header_path,,2,,"[""Straight connectors"", ""IP44/IP54"", ""Screw wiring""]",0,0,False,0.99,accepted,
sku_000002,GW 62 001 H,GW62001H,r0002c009,APPLICATIONS,applications,Standard use,Standard use,,same_row_right_across_sku_columns,2,9,"[466.322172416273, 154.73822021484375, 552.755029296875, 272.6598962854456]","[""APPLICATIONS""]",6,6,False,0.98,accepted,
