product_code,normalization_status,normalization_confidence,source_page,source_table,source_rows,source_columns,applications,continuation_product_type,footnote_marker,footnote_text,frequency,ip_rating,poles,product_type,rated_current,rated_voltage,reference_h,source_column_path,wiring_type
GW 62 001 FH,accepted,0.98,2,1,2,1,Standard use,Straight connectors,,,50/60 Hz,IP44/IP54,2P+E,Straight plugs,16 A,100 ÷ 130 V,4,Straight connectors | IP44/IP54 | Fast wiring,Fast wiring
GW 62 001 H,accepted,0.98,2,1,2,2,Standard use,Straight connectors,,,50/60 Hz,IP44/IP54,2P+E,Straight plugs,16 A,100 ÷ 130 V,4,Straight connectors | IP44/IP54 | Screw wiring,Screw wiring
GW 62 023 FH,accepted,0.98,2,1,2,3,Standard use,Straight connectors,,,50/60 Hz,IP66/IP67/IP68/IP69,2P+E,Straight plugs,16 A,100 ÷ 130 V,4,Straight connectors | IP66/IP67/IP68/IP69 | Fast wiring,Fast wiring
GW 62 023 H,accepted,0.98,2,1,2,4,Standard use,Straight connectors,,,50/60 Hz,IP66/IP67/IP68/IP69,2P+E,Straight plugs,16 A,100 ÷ 130 V,4,Straight connectors | IP66/IP67/IP68/IP69 | Screw wiring,Screw wiring
GW 62 201 FH,accepted,0.98,2,1,2,5,Standard use,10° flush-mounting,,,50/60 Hz,,2P+E,Straight plugs,16 A,100 ÷ 130 V,4,10° flush-mounting | socket-outlets IP44/IP45 | Fast wiring,Fast wiring
GW 62 201 H,accepted,0.98,2,1,2,6,Standard use,10° flush-mounting,,,50/60 Hz,,2P+E,Straight plugs,16 A,100 ÷ 130 V,4,10° flush-mounting | socket-outlets IP44/IP45 | Screw wiring,Screw wiring
GW 62 224 FH,accepted,0.98,2,1,2,7,Standard use,10° flush-mounting,,,50/60 Hz,,2P+E,Straight plugs,16 A,100 ÷ 130 V,4,10° flush-mounting | socket-outlets IP66/IP67 | Fast wiring,Fast wiring
GW 62 224 H,accepted,0.99,2,1,2,8,Standard use,10° flush-mounting,,,50/60 Hz,,2P+E,Straight plugs,16 A,100 ÷ 130 V,4,10° flush-mounting | socket-outlets IP66/IP67 | Screw wiring,Screw wiring
GW 62 002 FH,accepted,0.97,2,1,3,1,Standard use,Straight connectors,,,50/60 Hz,IP44/IP54,3P+E,Straight plugs,16 A,100 ÷ 130 V,4,Straight connectors | IP44/IP54 | Fast wiring,Fast wiring
GW 62 002 H,accepted,0.97,2,1,3,2,Standard use,Straight connectors,,,50/60 Hz,IP44/IP54,3P+E,Straight plugs,16 A,100 ÷ 130 V,4,Straight connectors | IP44/IP54 | Screw wiring,Screw wiring
